meta_run/id,meta_run/name,meta_run/created_at,meta_run/state,meta_run/tags,meta_run/group,meta_run/project,config/axes/A1_Normalization Policy,config/axes/A2_Normalization Type,config/axes/A3-a_Differential Attention Bias Mode,config/axes/A3_Attention Type,config/axes/A4_Attention Internal Normalization,config/axes/A5_Causal Masking,config/axes/B1-G1_Global-Conditioned Mode,config/axes/B1-G2_Global-Conditioned MLP Type,config/axes/B1-G3_Global-Conditioned Global Dimension,config/axes/B1-L1_Lorentz Feature Set,config/axes/B1-L2_Lorentz MLP Type,config/axes/B1-L3_Lorentz Hidden Dimension,config/axes/B1-L4_Lorentz Per-Head Mode,config/axes/B1-L5_Lorentz Sparse Gating,config/axes/B1-S1_SM Interaction Mode,config/axes/B1-S2_SM Mask Value,config/axes/B1-T1_Type-Pair Initialization,config/axes/B1-T2_Type-Pair Freeze Table,config/axes/B1-T3_Type-Pair Kinematic Gate,config/axes/B1-T4_Type-Pair Kinematic Feature,config/axes/B1-T5_Type-Pair Mask Value,config/axes/B1_Bias Activation Set,config/axes/C1_Head Realization,config/axes/C2_Pooling Strategy,config/axes/D1_Feature Set,config/axes/D2_MET Treatment,config/axes/D3_Token Ordering,config/axes/E1-a1_PE Dimension Mask,config/axes/E1-a_PE Space,config/axes/E1-b_Rotary Base Frequency,config/axes/E1_PE Type,config/axes/F1-a1_KAN FFN Bottleneck Dimension,config/axes/F1-a_KAN FFN Variant,config/axes/F1-b_MoE Encoder Scope,config/axes/F1-eff_FFN Realization,config/axes/F1-moe_MoE Enabled,config/axes/F1_FFN Type,config/axes/G1_Task Type,config/axes/G2_Model Family,config/axes/G3_Classification Task,config/axes/H10_Model Size Label,config/axes/H1_Model Dimension,config/axes/H2_Encoder Depth,config/axes/H3_Attention Heads,config/axes/H4_FFN Hidden Dimension,config/axes/H5_Dropout,config/axes/K1_KAN Grid Size,config/axes/K2_KAN Spline Order,config/axes/K3_KAN Grid Range,config/axes/K4_KAN Spline Regularization Weight,config/axes/K5_KAN Grid Update Frequency,config/axes/L1_Log PID Embeddings,config/axes/L2_Interpretability Enabled,config/axes/L3_Save Attention Maps,config/axes/L4_Save KAN Splines,config/axes/L5_Save MoE Routing,config/axes/L6_Save Gradient Norms,config/axes/L7_Checkpoint Epochs,config/axes/M1_MoE Number of Experts,config/axes/M2_MoE Top K,config/axes/M3_MoE Routing Level,config/axes/M4_MoE Load Balance Weight,config/axes/M5_MoE Noisy Gating,config/axes/P1-a_Nodewise Mass Neighbourhood Sizes,config/axes/P1-b_Nodewise Mass Hidden Dimension,config/axes/P1_Nodewise Mass Enabled,config/axes/P2-a_MIA Placement,config/axes/P2-b_MIA Number of Blocks,config/axes/P2-c_MIA Interaction Dimension,config/axes/P2-d_MIA Reduction Dimension,config/axes/P2-e_MIA Dropout,config/axes/P2_MIA Pre-Encoder Enabled,config/axes/R10_Early Stop Enabled,config/axes/R11_Early Stop Patience,config/axes/R12_Early Stop Min Delta,config/axes/R13_Restore Best Weights,config/axes/R14_PID Schedule Mode,config/axes/R15_PID Transition Epoch,config/axes/R16_PID Reinit Mode,config/axes/R17_PID Separate LR,config/axes/R1_Epochs,config/axes/R2_Learning Rate,config/axes/R3_Weight Decay,config/axes/R4_Batch Size,config/axes/R5_Seed,config/axes/R6_Warmup Steps,config/axes/R7_LR Schedule,config/axes/R8_Label Smoothing,config/axes/R9_Gradient Clipping,config/axes/S1_Shared Backbone Enabled,config/axes/S2_Shared Backbone Features,config/axes/T1-a_PID Embedding Mode,config/axes/T1-b_PID Embedding Dimension,config/axes/T1-c_Pretrained Model Type,config/axes/T1_Tokenizer Family,eval_v2/test_loss,eval_v2/test_acc,eval_v2/test_f1,eval_v2/test_auroc,eval_v2/log_loss,eval_v2/brier_score,eval_v2/eps_S_at_invB_10,eval_v2/eps_S_at_invB_50,eval_v2/eps_S_at_invB_100,eval_v2/eps_S_at_invB_1000,eval_v2/auroc_at_low_fpr,eval_v2/auroc_at_high_tpr,eval_v2/ece,eval_v2/flops_per_event_analytic,eval_v2/flops_per_event_measured,eval_v2/num_parameters_total,eval_v2/num_parameters_trainable,eval_v2/num_parameters_by_module_encoder,eval_v2/num_parameters_by_module_head,eval_v2/num_parameters_by_module_tokenizer,eval_v2/num_parameters_by_module_biases,eval_v2/checkpoint_size_mb,eval_v2/checkpoint_epoch,eval_v2/checkpoint_status,eval_v2/checkpoint_kind,eval_v2/checkpoint_sha256,eval_v2/test_set_hash,eval_v2/spec_version,eval_v2/timestamp,eval_v2/torch_version,eval_v2/cuda_version,eval_v2/gpu_name,eval_v2/runtime_seconds,eval_v2/inference_latency_ms_b1_mean,eval_v2/inference_latency_ms_b1_p50,eval_v2/inference_latency_ms_b1_p95,eval_v2/inference_latency_ms_b1_p99,eval_v2/inference_latency_ms_b64_mean,eval_v2/inference_latency_ms_b512_mean,eval_v2/throughput_samples_per_s_b512,eval_v2/peak_memory_mib_inference_b512,eval_v2/diff_attn/lambda_mean_abs,eval_v2/moe/expert_utilization_mean,eval_v2/lorentz/feature_gate_active_count,eval_v2/kan/spline_complexity,eval_v2/typepair/table_norm,eval_v2/typepair/table_drift_from_init,eval_v2/per_class_auroc_json,eval_v2/per_class_precision_json,eval_v2/per_class_recall_json,eval_v2/cm_json,config/meta.needs_review,axes_complete,thesis_label
z8n245or,run_20251029-150416_run,2026-02-04T15:53:05Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
xxyxrbns,run_20251030-151044_run,2026-02-04T15:53:07Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
fn6w4zcs,run_20251030-151833_run,2026-02-04T15:53:10Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
hf8uplq3,run_20251031-152750_compare_globals_heads_job000,2026-02-04T15:53:12Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",exp_20251031-152750_compare_globals_heads,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
jgo0lxba,run_20251031-152750_compare_globals_heads_job001,2026-02-04T15:53:14Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",exp_20251031-152750_compare_globals_heads,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
w0s5f1bd,run_20251031-152750_compare_globals_heads_job002,2026-02-04T15:53:16Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",exp_20251031-152750_compare_globals_heads,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
5qwex8lq,run_20251031-152750_compare_globals_heads_job003,2026-02-04T15:53:19Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",exp_20251031-152750_compare_globals_heads,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
p02aj69c,run_20251031-152750_compare_globals_heads_job004,2026-02-04T15:53:21Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",exp_20251031-152750_compare_globals_heads,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
259ft6hs,run_20251031-152750_compare_globals_heads_job005,2026-02-04T15:53:23Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",exp_20251031-152750_compare_globals_heads,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
98kpcr7o,run_20251031-152750_compare_globals_heads_job006,2026-02-04T15:53:26Z,finished,"[""dataset:4topssplitted"",""family:ae"",""goal:anomaly_detection"",""level:sim_event"",""needs_review""]",exp_20251031-152750_compare_globals_heads,thesis-ml,pre,layernorm,,standard,none,false,,,,,,,,,,,,,,,,none,linear,,"[0,1,2,3]",,input_order,,,,,,,,standard,false,standard,ae,autoencoder,ttH+ttW+ttWW+ttZ | 4t,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,False,non-transformer
